E114493 RO	A04490002SFP	0.19400000000000001	M  	0.19400000000000001	M  	03P	Fahs
E114493 RO	A60101017	1	UNI	1	UNI	03P	Fahs
E114493 RO	A60101020	1	UNI	1	UNI	03P	Fahs
E114762	A59950252	1	UNI	1	UNI	03P	Fahs
E114762 BL	A59921397	1	UNI	1	UNI	03P	Fahs
E114762 BL	A60101017	1	UNI	1	UNI	03P	Fahs
E114951 BL	A59950252	1	UNI	1	UNI	03P	Fahs
E114951 RO	A59921397	1	UNI	1	UNI	03P	Fahs
E114951 RO	A60101017	1	UNI	1	UNI	03P	Fahs
E115092 BL	A59950252	1	UNI	1	UNI	03P	Fahs
E115092 BL	A60101017	1	UNI	1	UNI	03P	Fahs
E115092 RO	A59950252	1	UNI	1	UNI	03P	Fahs
E115092 RO	A60101017	1	UNI	1	UNI	03P	Fahs
E115215 BL	A59950252	1	UNI	1	UNI	03P	Fahs
E115215 RO	A59921397	1	UNI	1	UNI	03P	Fahs
E115215 RO	A60101017	1	UNI	1	UNI	03P	Fahs
E115261 BL	A59950252	1	UNI	1	UNI	03P	Fahs
E115261 BL	A60101017	1	UNI	1	UNI	03P	Fahs
E115261 RO	A59950252	1	UNI	1	UNI	03P	Fahs
E115261 RO	A60101017	1	UNI	1	UNI	03P	Fahs
E115262 BL	A59950252	1	UNI	1	UNI	03P	Fahs
E115262 BL	A60101017	1	UNI	1	UNI	03P	Fahs
E115262 RO	A59950252	1	UNI	1	UNI	03P	Fahs
E115262 RO	A60101017	1	UNI	1	UNI	03P	Fahs
E115560 BL	A59950252	1	UNI	1	UNI	03P	Fahs
E115560 RO	A59921397	1	UNI	1	UNI	03P	Fahs
E115560 RO	A60101017	1	UNI	1	UNI	03P	Fahs
E11665 BL	A59930452	1	UNI	1	UNI	03P	Fahs
E11665 MA	A59930452	1	UNI	1	UNI	03P	Fahs
E11665 NO	A00522192	2.9999999999999997E-4	KG 	2.9999999999999997E-4	KG 	16E	Fahs
E11665 NO1	A00522192	2.9999999999999997E-4	KG 	2.9999999999999997E-4	KG 	16E	Fahs
E11665 RO	A00522192	2.9999999999999997E-4	KG 	2.9999999999999997E-4	KG 	16E	Fahs
E11665 VE	A00522192	2.9999999999999997E-4	KG 	2.9999999999999997E-4	KG 	16E	Fahs
E11705 BC	A00522192	1E-4	KG 	1E-4	KG 	16E	Fahs
E11705 BC	A59950250	1	UNI	1	UNI	03P	Fahs
E11705 BL	A00522192	1E-4	KG 	1E-4	KG 	16E	Fahs
E11705 BL	A59950250	1	UNI	1	UNI	03P	Fahs
E11705 GR	A00522192	1E-4	KG 	1E-4	KG 	16E	Fahs
E11705 GR	A59950250	1	UNI	1	UNI	03P	Fahs
E11705 NO	A00522192	1E-4	KG 	1E-4	KG 	16E	Fahs
E11705 NO	A59950250	1	UNI	1	UNI	03P	Fahs
E11705 RO	A00522192	1E-4	KG 	1E-4	KG 	16E	Fahs
E11705 RO	A59950250	1	UNI	1	UNI	03P	Fahs
E11725 BC	A00522192	5.0000000000000001E-4	KG 	5.0000000000000001E-4	KG 	16E	Fahs
E11725 BC	A60110155	1	UNI	1	UNI	03P	Fahs
E11725 BL	A04412161	8.5999999999999993E-2	M  	8.5999999999999993E-2	M  	03P	Fahs
E11725 GR	A00522192	5.0000000000000001E-4	KG 	5.0000000000000001E-4	KG 	16E	Fahs
E11725 GR	A60110155	1	UNI	1	UNI	03P	Fahs
E11725 NO	A04490017	0.191	M  	0.191	M  	03P	Fahs
E11725 RO	A00522192	5.0000000000000001E-4	KG 	5.0000000000000001E-4	KG 	16E	Fahs
E11725 RO	A60110155	1	UNI	1	UNI	03P	Fahs
E119444 BL	A59950252	1	UNI	1	UNI	03P	Fahs
E119444 BL	A60101018	1	UNI	1	UNI	03P	Fahs
E119444 RO	A04490002SFP	0.27400000000000002	M  	0.27400000000000002	M  	03P	Fahs
E119444 RO	A60101017	1	UNI	1	UNI	03P	Fahs
E119444 RO	A60101020	1	UNI	1	UNI	03P	Fahs
E1330000762 BL	A59920297	1	UNI	1	UNI	03P	Fahs
E1330000762 GR	A04490001	0.245	M  	0.245	M  	03P	Fahs
E1330000762 JA	A04600032SFP	0.12	M  	0.12	M  	03P	Fahs
E1330000762 JA	A60100253	4	UNI	4	UNI	03P	Fahs
E1330000762 MA	A60100272	0.129	M  	0.129	M  	03P	Fahs
E1330000762 NO	A59920097	1	UNI	1	UNI	03P	Fahs
E1330000762 OR	A59920297	1	UNI	1	UNI	03P	Fahs
E1330000762 PH8	A04490004	0.183	M  	0.183	M  	03P	Fahs
E1330000762 PH8	A60110103	1	UNI	1	UNI	03P	Fahs
E1330000762 PH8	A60100253	2	UNI	2	UNI	03P	Fahs
E1330000762 PH8	A59920097	1	UNI	1	UNI	03P	Fahs
E1330000762 PH8	A59920297	1	UNI	1	UNI	03P	Fahs
E1330000762 PH8	A04499996	0.30499999999999999	M  	0.30499999999999999	M  	03P	Fahs
E1330000762 PH8	A04600031	0.47799999999999998	M  	0.47799999999999998	M  	03P	Fahs
E1330000762 PH8	A60100253	4	UNI	4	UNI	03P	Fahs
E1330000762 PH8	A59910102	0.1	M  	0.1	M  	03P	Fahs
E1330000762 PH8	A60100832	1	UNI	1	UNI	03P	Fahs
E1330000762 PH8	A04490003SFP	0.129	M  	0.129	M  	03P	Fahs
E1330000762 PH8	A60100450	0.16900000000000001	M  	0.16900000000000001	M  	03P	Fahs
E1330000762 PH8	A04490005	0.215	M  	0.215	M  	03P	Fahs
E1330000762 PH8	A53940698	2	UNI	2	UNI	03P	Fahs
E1330000762 PH8	A53940698	4	UNI	4	UNI	03P	Fahs
E1330000762 V/B	A04490003SFP	0.129	M  	0.129	M  	03P	Fahs
E1330000762 V/B	A60100450	0.16900000000000001	M  	0.16900000000000001	M  	03P	Fahs
E1330000762 VT	A04490005	0.215	M  	0.215	M  	03P	Fahs
E1330000762S01	A04600031	0.47799999999999998	M  	0.47799999999999998	M  	03P	Fahs
E1330000762S01	A60100253	4	UNI	4	UNI	03P	Fahs
E1330000762S01	A60100099	1	UNI	1	UNI	03P	Fahs
E1330000762S02	A60100253	2	UNI	2	UNI	03P	Fahs
E1330000762S02	A59920097	1	UNI	1	UNI	03P	Fahs
E1330000762S02	A04490005	0.215	M  	0.215	M  	03P	Fahs
